state,year,name,sex,count,rank_within_sex,per_100k_within_sex
US,1899,Lillian,F,2703,10,1160.0
US,1899,Henry,M,1831,10,1723.9
US,1900,Mary,F,16707,1,5572.3
US,1900,John,M,9829,1,6531.3
US,1900,Helen,F,6343,2,2115.6
US,1900,William,M,8579,2,5700.7
US,1900,Anna,F,6114,3,2039.2
US,1900,James,M,7245,3,4814.3
US,1900,Margaret,F,5304,4,1769.0
US,1900,George,M,5403,4,3590.3
US,1900,Ruth,F,4765,5,1589.3
US,1900,Charles,M,4100,5,2724.4
US,1900,Elizabeth,F,4096,6,1366.1
US,1900,Robert,M,3821,6,2539.0
US,1900,Florence,F,3920,7,1307.4
US,1900,Joseph,M,3714,7,2467.9
US,1900,Ethel,F,3896,8,1299.4
US,1900,Frank,M,3477,8,2310.5
US,1900,Marie,F,3856,9,1286.1
US,1900,Edward,M,2720,9,1807.4
US,1900,Lillian,F,3414,10,1138.7
US,1900,Henry,M,2606,10,1731.7
US,1901,Mary,F,13136,1,5488.3
US,1901,John,M,6899,1,6479.8
US,1901,Helen,F,5247,2,2192.2
US,1901,William,M,5990,2,5626.1
US,1901,Anna,F,4923,3,2056.8
US,1901,James,M,4735,3,4447.3
US,1901,Margaret,F,4424,4,1848.4
US,1901,George,M,3609,4,3389.7
US,1901,Ruth,F,3974,5,1660.4
US,1901,Charles,M,3049,5,2863.7
US,1901,Elizabeth,F,3216,6,1343.7
US,1901,Joseph,M,2766,6,2597.9
US,1901,Marie,F,3157,7,1319.0
US,1901,Robert,M,2543,7,2388.5
US,1901,Florence,F,3131,8,1308.1
US,1901,Frank,M,2402,8,2256.1
US,1901,Ethel,F,3067,9,1281.4
US,1901,Edward,M,1917,9,1800.5
US,1901,Lillian,F,2681,10,1120.1
US,1901,Henry,M,1870,10,1756.4
US,1902,Mary,F,14486,1,5485.6
US,1902,John,M,7907,1,6446.3
US,1902,Helen,F,5967,2,2259.6
US,1902,William,M,6616,2,5393.8
US,1902,Anna,F,5288,3,2002.5
US,1902,James,M,5592,3,4559.0
US,1902,Margaret,F,5011,4,1897.6
US,1902,George,M,4223,4,3442.9
US,1902,Ruth,F,4384,5,1660.1
US,1902,Charles,M,3361,5,2740.1
US,1902,Elizabeth,F,3694,6,1398.8
US,1902,Robert,M,3180,6,2592.6
US,1902,Florence,F,3509,7,1328.8
US,1902,Joseph,M,3098,7,2525.7
US,1902,Marie,F,3423,8,1296.2
US,1902,Frank,M,2756,8,2246.9
US,1902,Ethel,F,3295,9,1247.8
US,1902,Edward,M,2294,9,1870.2
US,1902,Alice,F,3135,10,1187.2
US,1902,Henry,M,2154,10,1756.1
US,1903,Mary,F,14275,1,5449.1
US,1903,John,M,7608,1,6380.8
US,1903,Helen,F,6129,2,2339.6
US,1903,William,M,6311,2,5293.0
US,1903,Anna,F,5098,3,1946.0
US,1903,James,M,5480,3,4596.0
US,1903,Margaret,F,5046,4,1926.2
US,1903,George,M,3961,4,3322.1
US,1903,Ruth,F,4518,5,1724.6
US,1903,Charles,M,3212,5,2693.9
US,1903,Elizabeth,F,3723,6,1421.1
US,1903,Joseph,M,3121,6,2617.6
US,1903,Marie,F,3469,7,1324.2
US,1903,Robert,M,3044,7,2553.0
US,1903,Florence,F,3468,8,1323.8
US,1903,Frank,M,2644,8,2217.5
US,1903,Ethel,F,3257,9,1243.3
US,1903,Edward,M,2268,9,1902.2
US,1903,Mildred,F,3088,10,1178.8
US,1903,Thomas,M,1962,10,1645.5
US,1904,Mary,F,14962,1,5433.4
US,1904,John,M,8108,1,6328.2
US,1904,Helen,F,6488,2,2356.1
US,1904,William,M,6416,2,5007.6
US,1904,Anna,F,5330,3,1935.6
US,1904,James,M,5855,3,4569.8
US,1904,Margaret,F,5302,4,1925.4
US,1904,George,M,4219,4,3292.9
US,1904,Ruth,F,4900,5,1779.4
US,1904,Robert,M,3414,5,2664.6
US,1904,Elizabeth,F,3833,6,1391.9
US,1904,Charles,M,3406,6,2658.3
US,1904,Marie,F,3595,7,1305.5
US,1904,Joseph,M,3291,7,2568.6
US,1904,Florence,F,3572,8,1297.2
US,1904,Frank,M,2799,8,2184.6
US,1904,Mildred,F,3525,9,1280.1
US,1904,Edward,M,2334,9,1821.7
US,1904,Dorothy,F,3477,10,1262.7
US,1904,Henry,M,2086,10,1628.1
US,1905,Mary,F,16067,1,5509.5
US,1905,John,M,8060,1,6091.4
US,1905,Helen,F,6811,2,2335.5
US,1905,William,M,6495,2,4908.6
US,1905,Margaret,F,5690,3,1951.1
US,1905,James,M,6042,3,4566.3
US,1905,Anna,F,5424,4,1859.9
